House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Simmons Meadow,Andrea,Bradley,43,Head,Married,Female,Prison officer,None,None
1,Simmons Meadow,Peter,Bradley,44,Husband,Married,Male,Futures trader,None,None
1,Simmons Meadow,Lauren,Bradley,5,Daughter,NA,F,Student,None,NA
1,Simmons Meadow,Henry,Bradley,5,Son,NA,Male,Student,None,NA
1,Simmons Meadow,Edward,Slater,25,Lodger,Divorced,Male,Further education lecturer,None,None
2,Simmons Meadow,Melanie,O'Brien,24,Head,Divorced,Female,"Production assistant, television",None,None
2,Simmons Meadow,Lucy,O'Brien,3,Daughter,NA,Female,Child,None,NA
3,Simmons Meadow,Tina,Palmer,105,Head,Widowed,Female,Retired Risk analyst,None,Christian
4,Simmons Meadow,Jeremy,Sutton,73,Head,Widowed,Male,Retired Orthoptist,None,Christian
4,Simmons Meadow,Suzanne,Sutton,19,Granddaughter,Single,Female,University Student,None,Christian
4,Simmons Meadow,Pamela,Sutton,10,Granddaughter,NA,Female,Student,None,NA
4,Simmons Meadow,Justin,Sutton,10,Grandson,NA,Male,Student,None,NA
4,Simmons Meadow,Benjamin,Sutton,10,Grandson,NA,Male,Student,None,NA
5,Simmons Meadow,Julian,Marshall,57,Head,Divorced,Male,Barrister's clerk,None,Christian
6,Simmons Meadow,Beverley,Jones,30,Head,Divorced,Female,"Nurse, adult",None,None
6,Simmons Meadow,Bethan,Jones,2,Daughter,NA,Female,Child,None,NA
7,Simmons Meadow,Marcus,Hanson,88,Head,Married,Male,Retired Arts administrator,None,Christian
7,Simmons Meadow,Cheryl,Hanson,85,Wife,Married,Female,Retired Magazine features editor,None,None
8,Simmons Meadow,Bernard,Smith,73,Head,Widowed,Male,Retired Customer service manager,None,None
9,Simmons Meadow,Scott,Nelson,52,Head,Single,Male,"Pharmacist, community",None,None
9,Simmons Meadow,Bruce,Burns,56,None,Single,Male,"Scientist, water quality",None,Christian
10,Simmons Meadow,Danielle,Price,28,Head,Single,Female,Unemployed,None,Christian
10,Simmons Meadow,Bryan,Price,2,Son,NA,Male,Child,None,NA
10,Simmons Meadow,Glenn,Doherty,25,Lodger,Divorced,Male,Consulting civil engineer,None,None
11,Simmons Meadow,Melissa,Hargreaves,47,Head,Single,Female,Actuary,None,None
11,Simmons Meadow,Charlie,James,47,Partner,Single,Male,Housing manager/officer,None,None
